1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 |Large master bedroom,Remodeled and renovated,Finished basement,Nearby shopping stops,Nearby schools,Spacious,6 Bedrooms,2 Bathrooms,Single Family Home,Below Average Quality Primary School,Below Average Quality Middle School,Below Average Quality High School,Lowest crime rate-39366-10096 Summerlakes Dr Carmel IN 46032
0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 1 0 |Hardwood floor,Bathroom and Kitchen tile styling floor,Lage patio,Porch,Open concept,Remodeled and renovated,Spacious,Decorated paint,2 Bedrooms,1.5 Bathrooms,Single Family Home,Below Average Quality Primary School,Below Average Quality Middle School,Below Average Quality High School,Lowest crime rate-92960-1160 Helford Ln Carmel IN 46032
0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 |Open Concept kitchen,Very spacious kitchen,3 car garage,Walkin closet,Bathroom Vanity,Dining area,Recreation area,Garden tub,Lage patio,Formal dining,Open concept,Spacious,Movein ready,4 Bedrooms,3.5 Bathrooms,Single Family Home,Above Average Quality Primary School,Above Average Quality Middle School,Above Average Quality High School,Lowest crime rate-499447-13337 Tralee Ct Carmel IN 46074
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 |Remodeled and renovated,Nearby schools,3 Bedrooms,2 Bathrooms,Single Family Home,Below Average Quality Primary School,Average Quality Middle School,Average Quality High School,Lowest crime rate-91168-15737 Market Center Dr Carmel IN 46033
0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 |Carpeting,2 car garage ,Walkin closet,Large backyard,Fence,Remodeled and renovated,Finished basement,3 Bedrooms,2 Bathrooms,Single Family Home,Above Average Quality Primary School,Average Quality Middle School,Average Quality High School,Lowest crime rate-113658-5781 Coopers Hawk Dr Carmel IN 46033
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 |Large backyard,Deck,Porch,Open concept,Remodeled and renovated,Finished basement,Nearby shopping stops,Nearby schools,Decorated paint,4 Bedrooms,3 Bathrooms,Single Family Home,Average Quality Primary School,Below Average Quality Middle School,Below Average Quality High School,Lowest crime rate-182628-1345 Helford Ln Carmel IN 46032
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 |Nearby schools,3 Bedrooms,2 Bathrooms,Single Family Home,Above Average Quality Primary School,Above Average Quality Middle School,Above Average Quality High School,Lowest crime rate-360490-55 10th St NW Carmel IN 46032
0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1 0 |Bathroom and Kitchen tile styling floor,Soaring ceiling,Granite countertop and island,Natural light,6 Bedrooms,4.5 Bathrooms,Single Family Home,Above Average Quality Primary School,Average Quality Middle School,Average Quality High School,Lowest crime rate-1098846-6549 Iroquois Ln Carmel IN 46033
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 |3 Bedrooms,2.5 Bathrooms,Multi Family Home,Below Average Quality Primary School,Average Quality Middle School,Below Average Quality High School,Lowest crime rate-40040-14232 Denali Dr Carmel IN 46074
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 |3 Bedrooms,1 Bathrooms,Condo,Below Average Quality Primary School,Average Quality Middle School,Below Average Quality High School,Lowest crime rate-52269-1001 E Greyhound Pass Carmel IN 46032
1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 1 0 |Large master bedroom,Gourmet kitchen,Kitchen center island,Dining area,Large backyard,Granite countertop and island,2story house,Screen porch,Porch,Boat dock,Remodeled and renovated,Finished basement,Nearby shopping stops,Nearby Restaurants,5 Bedrooms,4.5 Bathrooms,Single Family Home,Below Average Quality Primary School,Average Quality Middle School,Average Quality High School,Lowest crime rate-448160-3725 Sumter Way Carmel IN 46032
